step,score_mean,score_max,reference_policy_updated,kl,entropy,loss_total
0,0.46629764954363656,0.6933609237646846,0.0,0.0,7.39323616027832,0.5677499771118164
1,0.5236627984056792,0.7980076861732149,1.0,0.15338197350502014,7.455113887786865,0.1525527983903885
2,0.5227578316739764,0.7851562683374561,0.0,0.16005602478981018,7.431410789489746,0.024457139894366264
3,0.5655652016349715,0.7569451961379706,0.0,0.18609505891799927,7.499054908752441,0.0050820172764360905
4,0.5201005161207957,0.796414142706322,1.0,0.20653340220451355,7.397397994995117,0.011075268499553204
5,0.5800865536379634,0.8104173234214405,0.0,0.22909511625766754,7.460590362548828,0.005137134343385696
6,0.5473603480631852,0.7510521667744928,0.0,0.26684531569480896,7.382473945617676,0.003029534826055169
7,0.5314656384106469,0.7783770486132631,1.0,0.24061483144760132,7.436856746673584,0.0023779382463544607
8,0.5237121413642423,0.7690531508764179,0.0,0.2534630000591278,7.430510520935059,0.00259022181853652
9,0.5479800230933978,0.7957229933703568,0.0,0.27994972467422485,7.4330925941467285,0.007106627803295851
10,0.5407446512192594,0.7663300402550328,1.0,0.23660847544670105,7.387062072753906,-0.0001886261161416769
11,0.5054707544472391,0.7561596450878624,0.0,0.2824666500091553,7.425356864929199,0.00029742601327598095
12,0.5699726333872308,0.8110458363434506,0.0,0.2672996520996094,7.4015045166015625,0.0026839496567845345
13,0.5840423101623936,0.7713811915730302,1.0,0.3235680162906647,7.465091705322266,-0.0004581988323479891
14,0.4827719955822715,0.7903094187116141,0.0,0.3191453218460083,7.382137298583984,0.0013248068280518055
15,0.5442567416482136,0.7858764994930463,0.0,0.23879948258399963,7.257317066192627,0.007586357649415731
16,0.559367016615391,0.7841472161319047,1.0,0.23789680004119873,7.442800045013428,0.001783284591510892
17,0.5381626490382171,0.7603619249410781,0.0,0.34110018610954285,7.467844009399414,-0.0012712692841887474
18,0.528210942389919,0.813223104962393,0.0,0.2572251558303833,7.461028099060059,-0.0006256084889173508
19,0.5107849162426873,0.851348233994385,1.0,0.4459141492843628,7.517177581787109,0.0015898537822067738
20,0.5520186947140638,0.8252107371037781,0.0,0.34121087193489075,7.446214199066162,0.0012263506650924683
21,0.48261614730253033,0.7470870990655695,0.0,0.32593753933906555,7.350212097167969,-0.00014909426681697369
22,0.5303060157329332,0.7944071059151974,1.0,0.2990872859954834,7.4098286628723145,0.0015456946566700935
23,0.567626695467194,0.8121532624008706,0.0,0.31046468019485474,7.460494041442871,-0.00033577182330191135
24,0.5080522670527946,0.7588755266432524,0.0,0.2515535056591034,7.461197376251221,0.001700431341305375
25,0.5462921081331408,0.778313670508308,1.0,0.3920495808124542,7.4564032554626465,-0.004445341415703297
26,0.5128804301237017,0.7258328993018802,0.0,0.503812313079834,7.448912620544434,-0.002098484430462122
27,0.5566703433993208,0.7965008896797118,0.0,0.36487841606140137,7.398371696472168,0.0018451756332069635
28,0.49483586907054833,0.7163071143497282,1.0,0.3999960422515869,7.435684680938721,-0.005252748727798462
29,0.5755150044576959,0.809817626550491,0.0,0.3757554292678833,7.353401184082031,0.0003888492938131094
30,0.5654538784528654,0.8332179847576154,0.0,0.3591192364692688,7.370212078094482,0.00027897697873413563
31,0.5572315603803325,0.8278233104498156,1.0,0.3855865001678467,7.393135070800781,0.003542258869856596
32,0.5410816272556818,0.8137258352392949,0.0,0.3180875778198242,7.395541191101074,0.0006275544874370098
33,0.4893936629096868,0.7894138146030574,0.0,0.31118375062942505,7.472589492797852,0.0006072791293263435
34,0.5041151474684125,0.7492499033126248,1.0,0.3189978301525116,7.429689407348633,-0.0023982340935617685
35,0.5597919479985328,0.7999609960276475,0.0,0.3943946361541748,7.489314079284668,-0.0003108209930360317
36,0.5076848700564532,0.8366788640117924,0.0,0.390495628118515,7.430647373199463,0.005023275502026081
37,0.5818736703750751,0.7499464217132084,1.0,0.32626307010650635,7.442671775817871,-0.005763684865087271
38,0.5405170890222512,0.7611486387487052,0.0,0.4220665693283081,7.442856788635254,0.0010697867255657911
39,0.5561677098627342,0.8138283030762447,0.0,0.39112532138824463,7.444393157958984,-0.001881863223388791
40,0.5562554646657349,0.8715030048332646,1.0,0.32039982080459595,7.492767333984375,0.0005661824252456427
41,0.5201527156352261,0.8184985889373562,0.0,0.4291664958000183,7.446315765380859,-0.0037353471852838993
42,0.6178680552790886,0.7700365837977984,0.0,0.35695114731788635,7.422354698181152,-0.006428360939025879
43,0.5779497076689945,0.7837861825302676,1.0,0.351797878742218,7.506619453430176,-0.004476506728678942
