step,score_mean,score_max,reference_policy_updated,kl,entropy,loss_total
0,0.46814508335007204,0.6555914176186102,0.0,0.0,12.644181251525879,0.15686798095703125
1,0.5086027614826223,0.826188908563895,1.0,0.13164979219436646,13.272041320800781,0.05595172941684723
2,0.49303831827496813,0.8416146858466742,0.0,0.15280018746852875,12.60622787475586,0.011057628318667412
3,0.4978472644481154,0.7674709444820156,0.0,0.1846413016319275,12.903465270996094,0.010181618854403496
4,0.4869955515406623,0.8433069658246071,1.0,0.20664024353027344,13.178689956665039,0.008341165259480476
5,0.4986862901730961,0.8104074125985989,0.0,0.21537214517593384,12.947807312011719,0.003178040962666273
6,0.4962181559774729,0.761153989372913,0.0,0.216587096452713,13.421358108520508,0.003833713475614786
7,0.4971923426104645,0.7958814396570691,1.0,0.21119260787963867,12.969704627990723,0.0026611487846821547
8,0.5040623145487187,0.7446313376800214,0.0,0.21167874336242676,13.022721290588379,0.003327364334836602
9,0.5516127625245746,0.8175350428923818,0.0,0.30335965752601624,12.948370933532715,0.000927202170714736
10,0.5024256026299629,0.7836494444704547,1.0,0.28151607513427734,13.008415222167969,0.0031833427492529154
11,0.49823773729892845,0.8222816643456471,0.0,0.25169670581817627,13.084171295166016,0.005691572558134794
12,0.5112870075763831,0.8393244667107783,0.0,0.2532142996788025,12.97942066192627,-0.002061402192339301
13,0.49978295289226493,0.8278344820979255,1.0,0.33035528659820557,13.093889236450195,0.0007390952669084072
14,0.5506056125870872,0.7980501583807493,0.0,0.27536070346832275,12.97361946105957,-0.00011977576650679111
15,0.537555560507831,0.7888352397913428,0.0,0.30480527877807617,12.969022750854492,-0.0020374988671392202
16,0.5006485681163831,0.8107195883827707,1.0,0.3108662962913513,12.896587371826172,0.00035128253512084484
17,0.576120162129702,0.831151069346387,0.0,0.3411543369293213,13.127066612243652,-0.0034474534913897514
18,0.5234897134566456,0.7740284137651742,0.0,0.35134434700012207,13.08281421661377,-0.0029449015855789185
19,0.5116431483638704,0.83750579331411,1.0,0.3713368773460388,13.398491859436035,0.0006294057238847017
20,0.4998368801678877,0.785834078965183,0.0,0.31935402750968933,12.891191482543945,-0.0012250866275280714
21,0.5365401988075458,0.8298437017824706,0.0,0.37785565853118896,13.133525848388672,0.0007735022809356451
22,0.5249121769302998,0.8192866886721452,1.0,0.37539517879486084,13.003864288330078,-0.0003282588440924883
23,0.5195282581233777,0.8246922052158212,0.0,0.41510671377182007,12.867902755737305,0.000556320883333683
24,0.5222972091624338,0.8044818049318706,0.0,0.348662793636322,12.750338554382324,-0.0012719298247247934
25,0.4993827092047742,0.8208186627637024,1.0,0.3843156099319458,13.409576416015625,-0.002330122049897909
26,0.5384837168180618,0.8008038208775659,0.0,0.40032827854156494,12.503049850463867,-0.002044972265139222
27,0.5060112951509275,0.8254128491229995,0.0,0.41402241587638855,13.041876792907715,0.0023626144975423813
28,0.5460710351908774,0.8070321125524186,1.0,0.35108423233032227,13.196210861206055,-0.002357151359319687
29,0.5318182315670307,0.7769750596173385,0.0,0.36968567967414856,12.887041091918945,-0.0002425890415906906
30,0.507886154268164,0.743648907647165,0.0,0.3578394651412964,13.199148178100586,-0.0005481517873704433
31,0.5144233667031513,0.7659036464180289,1.0,0.39416974782943726,13.180658340454102,-0.0038348971866071224
32,0.5153659715469177,0.8039736195993415,0.0,0.39755678176879883,13.059225082397461,-0.001093042315915227
33,0.5361818637115897,0.7964063788826357,0.0,0.49073120951652527,12.983741760253906,0.0006992013659328222
34,0.5519097687065206,0.8139691542259831,1.0,0.42529481649398804,12.994537353515625,-0.0028887635562568903
35,0.5755587766493351,0.834728348306531,0.0,0.41088730096817017,13.307291030883789,-0.0021939645521342754
36,0.5152290645552589,0.8270447975888404,0.0,0.49814581871032715,12.923882484436035,-0.0003511342220008373
37,0.530460100611013,0.8264339015070049,1.0,0.42292481660842896,13.498066902160645,-0.0019952727016061544
38,0.5135181269565838,0.8606888561440725,0.0,0.390937477350235,12.9862060546875,0.0012815538793802261
39,0.5055597887684969,0.7694619283358959,0.0,0.4596632719039917,12.730680465698242,-2.263602800667286e-05
40,0.532942663920127,0.7472018458763195,1.0,0.46788254380226135,12.934587478637695,-0.0023811848368495703
41,0.49681819324352244,0.8327213870508521,0.0,0.42308318614959717,12.932640075683594,0.0008564323652535677
42,0.5251342087649317,0.8277316551846792,0.0,0.44942718744277954,13.128351211547852,-0.003134296042844653
43,0.5220410638309693,0.8523606084849402,1.0,0.4938723146915436,12.946409225463867,-0.00205653952434659
44,0.6031559996524971,0.8279157309530697,0.0,0.3666419982910156,13.09123420715332,-0.0021672442089766264
45,0.5090544982015326,0.7836656288368379,0.0,0.4623168110847473,12.990537643432617,0.0007906521204859018
46,0.5356501030551981,0.800138929485113,1.0,0.468991756439209,13.131502151489258,-0.0012195808812975883
47,0.545022405264824,0.7813181625065339,0.0,0.45416244864463806,12.577432632446289,-0.0037673404440283775
48,0.5265788037364413,0.7999356648866156,0.0,0.40230000019073486,13.285734176635742,-0.004716767463833094
49,0.5314536322963337,0.8133342365031798,1.0,0.44268670678138733,12.915069580078125,-0.0018390240147709846
50,0.5736876657331834,0.8284768183791148,0.0,0.44619524478912354,13.119318008422852,-0.0002983775921165943
51,0.4978755982124391,0.7739465186294423,0.0,0.47815608978271484,13.126688957214355,-0.0001839185133576393
52,0.5442864995620763,0.7674247319019251,1.0,0.4598690867424011,12.79391860961914,-0.0023120385594666004
53,0.49087707679026105,0.763208442885276,0.0,0.48205769062042236,13.115610122680664,-0.004563440103083849
54,0.5278546293791244,0.8185225559869594,0.0,0.4222957491874695,12.886125564575195,-0.003485544119030237
55,0.5117473686326884,0.811401828134981,1.0,0.45120424032211304,13.19749641418457,0.0005299418698996305
56,0.5173347879309401,0.7864860575280487,0.0,0.404721736907959,13.308633804321289,-0.0041958545334637165
57,0.5572952516359135,0.8365271489177649,0.0,0.45017188787460327,12.984081268310547,-0.0011778417974710464
58,0.5232197692032374,0.7730541848117527,1.0,0.5163892507553101,13.02060604095459,0.0038264626637101173
59,0.541526716813196,0.8254516542782265,0.0,0.4691199064254761,12.73512077331543,-0.002732379361987114
60,0.5172643801359468,0.8163472578383435,0.0,0.47681108117103577,13.150436401367188,-0.001059086062014103
61,0.48321981044466183,0.795581915671178,1.0,0.3740091919898987,13.137060165405273,-0.00021073594689369202
62,0.5579404184019362,0.8203755485602203,0.0,0.4273225963115692,13.010293960571289,-0.0032441155053675175
63,0.5463003332399204,0.8225065832351524,0.0,0.4788919985294342,13.223552703857422,-0.0018115758430212736
64,0.5333933943622403,0.8519607373350322,1.0,0.5132007002830505,13.188763618469238,-0.003506855806335807
65,0.5355009421217912,0.7979483417232971,0.0,0.5478919148445129,12.929349899291992,-0.0016896871384233236
66,0.5661730133484305,0.8211329568456526,0.0,0.5166440606117249,12.896249771118164,0.0011914728675037622
67,0.5110009038816311,0.7931933561951612,1.0,0.4499751627445221,12.892370223999023,-0.001988192554563284
68,0.5696003640065977,0.8275228083486231,0.0,0.5640466809272766,12.834026336669922,-0.002790433820337057
69,0.5335944462758354,0.8037563896924407,0.0,0.552226185798645,13.004804611206055,-0.0011003217659890652
70,0.537047619061235,0.7590430499213451,1.0,0.4476378858089447,12.884271621704102,-0.004315027501434088
71,0.5337941312452296,0.7955025679683029,0.0,0.48247218132019043,12.806549072265625,-4.650792106986046e-06
72,0.5253905389427868,0.8427306837759336,0.0,0.510585606098175,12.823919296264648,-0.0030935462564229965
73,0.5388645300640921,0.8030291831893257,1.0,0.5018638968467712,12.873047828674316,-0.003555570263415575
74,0.5303117218166848,0.8464362711556164,0.0,0.4282938838005066,13.083165168762207,-0.0031550065614283085
75,0.5926923923942246,0.8225309371549129,0.0,0.584775447845459,12.940238952636719,-0.0037353176157921553
76,0.5836851769712279,0.7761091617545066,1.0,0.5290781259536743,12.99404239654541,-0.006507891230285168
77,0.5244498980746668,0.8584135529788742,0.0,0.48282384872436523,13.131376266479492,3.378489054739475e-05
78,0.5434754368251322,0.8271535084987524,0.0,0.5792527198791504,13.017690658569336,0.0001299944706261158
79,0.561287709159577,0.8130789216425272,1.0,0.4729774296283722,13.13385009765625,-0.005184745416045189
80,0.5374290140180585,0.8465747919871438,0.0,0.5907760858535767,12.805026054382324,-0.0010373801924288273
81,0.5620456754996175,0.7792354636138601,0.0,0.5607346296310425,13.06580924987793,-0.00465000793337822
82,0.5485258249999717,0.7627992244971666,1.0,0.5942977666854858,12.78291130065918,-0.0029511237516999245
83,0.5000463502037901,0.8140402645833127,0.0,0.5866161584854126,13.07174301147461,-0.0042563737370073795
84,0.5609687014604725,0.8097474871838379,0.0,0.5385984778404236,13.1864652633667,-0.00047672889195382595
85,0.5240826505718439,0.8869726417366373,1.0,0.6041107177734375,13.318499565124512,-0.0019866356160491705
86,0.607316388256712,0.7992187848503882,0.0,0.6442745923995972,13.057147979736328,-0.006811415310949087
87,0.5881878492611219,0.7959285792310651,0.0,0.5220622420310974,13.142678260803223,-0.0011451998725533485
88,0.5146688457453942,0.8070931853486442,1.0,0.5031379461288452,12.981464385986328,-0.0025096137542277575
89,0.5412583169959208,0.8139744420490123,0.0,0.5174747109413147,13.106785774230957,-0.00045380950905382633
90,0.5552220017692372,0.8510717402194038,0.0,0.5514888763427734,13.0571928024292,-0.002322141081094742
91,0.5449872837403128,0.7970345592660929,1.0,0.5310918092727661,12.768701553344727,-0.003342138137668371
92,0.5477891992693905,0.8002525944143017,0.0,0.5422589182853699,13.068151473999023,-0.001596207031980157
93,0.5023867186810114,0.8656101208202533,0.0,0.5427711009979248,12.92858600616455,-0.0006068937946110964
94,0.5513553477038527,0.7565713546644898,1.0,0.6050275564193726,12.836867332458496,-0.0017599246930330992
95,0.5387586953394531,0.8202889272149773,0.0,0.6150441765785217,12.753332138061523,-0.0017626173794269562
96,0.5777112546729658,0.8731334966028708,0.0,0.5802325010299683,12.511187553405762,-0.0033211656846106052
97,0.5197260007534993,0.7947206448633771,1.0,0.5541134476661682,13.159221649169922,0.0016623393166810274
98,0.48908242347298964,0.8190738189713673,0.0,0.5422027707099915,12.93643569946289,0.0012179540935903788
99,0.5483707734469315,0.8263179611113197,0.0,0.5935420989990234,13.054693222045898,-0.003960764035582542
100,0.5657799643757863,0.7841385434355213,1.0,0.552700400352478,12.818772315979004,0.0009869495406746864
101,0.49020489645500726,0.816483045625316,0.0,0.5178749561309814,12.827177047729492,-0.0002554126549512148
102,0.5648879280038686,0.865916913590366,0.0,0.6170568466186523,12.718976974487305,-0.003925200551748276
103,0.6174347241388094,0.8117433697667409,1.0,0.6751163601875305,13.104000091552734,-0.0037647902499884367
104,0.563997611570339,0.8536909128513868,0.0,0.673965573310852,13.153363227844238,-0.003391402307897806
105,0.5607270051916654,0.7973066955240379,0.0,0.7300102710723877,12.924389839172363,-0.0022520229686051607
106,0.5738881035148524,0.8695623216464293,1.0,0.515069305896759,12.97561264038086,-0.0015389244072139263
107,0.5719890633973383,0.8130740082153886,0.0,0.6151120662689209,12.80522346496582,-0.003224786836653948
108,0.5592786364813712,0.8436064529821187,0.0,0.6254736185073853,13.06102180480957,-0.0018538916483521461
109,0.5403165908314452,0.8046589282780867,1.0,0.5784168243408203,12.902603149414062,-0.0016845231875777245
110,0.5260210748719663,0.8473749772690182,0.0,0.619738757610321,12.783376693725586,-0.004453086294233799
111,0.5759883994721412,0.7685841199346466,0.0,0.7151851654052734,13.015397071838379,-0.0015790436882525682
112,0.5370557466675395,0.7966269191419513,1.0,0.5715798139572144,13.458608627319336,-0.0021168626844882965
113,0.49636263474277764,0.7562473601186493,0.0,0.5836843252182007,12.698102951049805,-0.003744059707969427
114,0.5165817109724229,0.8568616120686475,0.0,0.5106461048126221,13.131526947021484,-0.001451101154088974
115,0.5201548783059063,0.8245444423647563,1.0,0.6457254886627197,12.931543350219727,-0.002452637068927288
116,0.5723312096309499,0.8167851514746842,0.0,0.5890464782714844,13.009025573730469,-0.003993339836597443
117,0.531811562489105,0.8174229833286929,0.0,0.6007719039916992,12.880956649780273,0.0005784681998193264
118,0.4990996405319824,0.8253036264342245,1.0,0.6502373218536377,13.021835327148438,-0.003053211374208331
119,0.5973032831497083,0.8371961507262605,0.0,0.767385721206665,12.828471183776855,0.0003088356461375952
120,0.5229853917524252,0.8059585003753841,0.0,0.6295269727706909,13.151849746704102,-0.003626288380473852
121,0.5645468900024758,0.865565552873097,1.0,0.6334123015403748,13.027853012084961,-0.0022856155410408974
122,0.48334099929080176,0.7907395167165056,0.0,0.5471979975700378,12.747615814208984,0.0011527002789080143
123,0.5535027889242259,0.837059611061678,0.0,0.6166079044342041,12.827669143676758,-0.0025955585297197104
124,0.53733342869491,0.8651508748554654,1.0,0.5791376829147339,12.798664093017578,-0.0016399503219872713
125,0.4810814809033029,0.8229667268058161,0.0,0.5992029309272766,13.051706314086914,0.0019623246043920517
126,0.521223810926855,0.8416847011188693,0.0,0.6585400700569153,12.8515625,-0.0028246627189219
127,0.5748093048133477,0.8018262103897866,1.0,0.6154711246490479,13.290058135986328,-0.002613798948004842
